                                                                                                                             
{'loss': 8.874, 'grad_norm': 1.7890625, 'learning_rate': 4.653739612188365e-05, 'epoch': 0.01}
{'loss': 8.7369, 'grad_norm': 1.8046875, 'learning_rate': 4.7368421052631574e-05, 'epoch': 0.01}
{'loss': 8.7106, 'grad_norm': 1.7890625, 'learning_rate': 4.8199445983379496e-05, 'epoch': 0.01}
{'loss': 8.6987, 'grad_norm': 1.765625, 'learning_rate': 4.903047091412742e-05, 'epoch': 0.01}
{'loss': 8.6968, 'grad_norm': 1.7421875, 'learning_rate': 4.986149584487534e-05, 'epoch': 0.01}
{'loss': 8.6094, 'grad_norm': 1.78125, 'learning_rate': 5.069252077562326e-05, 'epoch': 0.01}
{'loss': 8.7524, 'grad_norm': 1.71875, 'learning_rate': 5.1523545706371185e-05, 'epoch': 0.01}
{'loss': 8.4574, 'grad_norm': 1.7734375, 'learning_rate': 5.235457063711911e-05, 'epoch': 0.01}
{'loss': 8.4304, 'grad_norm': 1.8046875, 'learning_rate': 5.318559556786703e-05, 'epoch': 0.01}
{'loss': 8.4388, 'grad_norm': 1.65625, 'learning_rate': 5.401662049861495e-05, 'epoch': 0.01}
{'loss': 8.4104, 'grad_norm': 1.625, 'learning_rate': 5.4847645429362874e-05, 'epoch': 0.01}
{'loss': 8.4132, 'grad_norm': 1.625, 'learning_rate': 5.5678670360110796e-05, 'epoch': 0.01}
{'loss': 8.3548, 'grad_norm': 1.609375, 'learning_rate': 5.6509695290858725e-05, 'epoch': 0.01}
{'loss': 8.2174, 'grad_norm': 1.578125, 'learning_rate': 5.734072022160665e-05, 'epoch': 0.01}
{'loss': 8.3916, 'grad_norm': 1.4609375, 'learning_rate': 5.817174515235457e-05, 'epoch': 0.01}
{'loss': 8.188, 'grad_norm': 1.4921875, 'learning_rate': 5.900277008310249e-05, 'epoch': 0.01}
{'loss': 8.1619, 'grad_norm': 1.578125, 'learning_rate': 5.9833795013850414e-05, 'epoch': 0.01}
{'loss': 8.1564, 'grad_norm': 1.4296875, 'learning_rate': 6.0664819944598337e-05, 'epoch': 0.01}
{'loss': 8.0522, 'grad_norm': 1.53125, 'learning_rate': 6.149584487534626e-05, 'epoch': 0.01}
{'loss': 8.0749, 'grad_norm': 1.40625, 'learning_rate': 6.232686980609417e-05, 'epoch': 0.01}
{'loss': 8.1172, 'grad_norm': 1.3046875, 'learning_rate': 6.315789473684209e-05, 'epoch': 0.01}
{'loss': 7.9714, 'grad_norm': 1.3515625, 'learning_rate': 6.398891966759002e-05, 'epoch': 0.01}
{'loss': 7.9178, 'grad_norm': 1.3671875, 'learning_rate': 6.481994459833795e-05, 'epoch': 0.01}
{'loss': 7.914, 'grad_norm': 1.296875, 'learning_rate': 6.565096952908586e-05, 'epoch': 0.01}
{'loss': 7.9779, 'grad_norm': 1.2421875, 'learning_rate': 6.648199445983379e-05, 'epoch': 0.01}
{'loss': 7.8068, 'grad_norm': 1.3203125, 'learning_rate': 6.731301939058171e-05, 'epoch': 0.01}
{'loss': 7.7836, 'grad_norm': 1.34375, 'learning_rate': 6.814404432132964e-05, 'epoch': 0.01}
{'loss': 7.799, 'grad_norm': 1.2421875, 'learning_rate': 6.897506925207755e-05, 'epoch': 0.01}
{'loss': 7.81, 'grad_norm': 1.15625, 'learning_rate': 6.980609418282548e-05, 'epoch': 0.01}
{'loss': 7.6936, 'grad_norm': 1.2109375, 'learning_rate': 7.06371191135734e-05, 'epoch': 0.01}
{'loss': 7.6599, 'grad_norm': 1.1640625, 'learning_rate': 7.146814404432133e-05, 'epoch': 0.01}
{'loss': 7.6015, 'grad_norm': 1.171875, 'learning_rate': 7.229916897506924e-05, 'epoch': 0.01}
{'loss': 7.5991, 'grad_norm': 1.0546875, 'learning_rate': 7.313019390581717e-05, 'epoch': 0.01}
{'loss': 7.6275, 'grad_norm': 1.1328125, 'learning_rate': 7.396121883656509e-05, 'epoch': 0.01}
{'loss': 7.4685, 'grad_norm': 1.0390625, 'learning_rate': 7.479224376731301e-05, 'epoch': 0.01}
{'loss': 7.4026, 'grad_norm': 1.0625, 'learning_rate': 7.562326869806093e-05, 'epoch': 0.01}
{'loss': 7.4212, 'grad_norm': 1.0234375, 'learning_rate': 7.645429362880886e-05, 'epoch': 0.01}
{'loss': 7.5236, 'grad_norm': 1.0234375, 'learning_rate': 7.728531855955677e-05, 'epoch': 0.01}
