  0%|                                                                              | 0/2195 [00:00<?, ?it/s]WARNING:transformers_modules.GPTNeoX-160M-WikiText-512-flash_attention_2.modeling_custom:`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
                                                                                                            
{'loss': 4.4304, 'grad_norm': 0.6953125, 'learning_rate': 7.363636363636363e-05, 'epoch': 0.01}
{'loss': 4.3671, 'grad_norm': 0.62890625, 'learning_rate': 7.636363636363635e-05, 'epoch': 0.01}
{'loss': 4.4537, 'grad_norm': 0.64453125, 'learning_rate': 7.909090909090908e-05, 'epoch': 0.01}
{'loss': 4.4873, 'grad_norm': 0.6484375, 'learning_rate': 8.18181818181818e-05, 'epoch': 0.01}
{'loss': 4.3402, 'grad_norm': 0.6484375, 'learning_rate': 8.454545454545454e-05, 'epoch': 0.01}
{'loss': 4.2471, 'grad_norm': 0.60546875, 'learning_rate': 8.727272727272726e-05, 'epoch': 0.01}
{'loss': 4.3605, 'grad_norm': 0.59765625, 'learning_rate': 8.999999999999999e-05, 'epoch': 0.02}
{'loss': 4.3822, 'grad_norm': 0.6015625, 'learning_rate': 9.272727272727271e-05, 'epoch': 0.02}
{'loss': 4.2165, 'grad_norm': 0.60546875, 'learning_rate': 9.545454545454545e-05, 'epoch': 0.02}
{'loss': 4.3047, 'grad_norm': 0.6015625, 'learning_rate': 9.818181818181817e-05, 'epoch': 0.02}
{'loss': 4.3606, 'grad_norm': 0.53125, 'learning_rate': 0.0001009090909090909, 'epoch': 0.02}
{'loss': 4.1238, 'grad_norm': 0.5703125, 'learning_rate': 0.00010363636363636362, 'epoch': 0.02}
{'loss': 4.3155, 'grad_norm': 0.5625, 'learning_rate': 0.00010636363636363636, 'epoch': 0.02}
{'loss': 4.0327, 'grad_norm': 0.5859375, 'learning_rate': 0.00010909090909090908, 'epoch': 0.02}
{'loss': 4.281, 'grad_norm': 0.578125, 'learning_rate': 0.00011181818181818181, 'epoch': 0.02}
{'loss': 4.4403, 'grad_norm': 0.4921875, 'learning_rate': 0.00011454545454545453, 'epoch': 0.02}
{'loss': 4.2178, 'grad_norm': 0.5234375, 'learning_rate': 0.00011727272727272727, 'epoch': 0.02}
{'loss': 3.8936, 'grad_norm': 0.5078125, 'learning_rate': 0.00011999999999999999, 'epoch': 0.02}
{'loss': 4.205, 'grad_norm': 0.52734375, 'learning_rate': 0.00012272727272727272, 'epoch': 0.02}
{'loss': 4.1702, 'grad_norm': 0.5, 'learning_rate': 0.00012545454545454543, 'epoch': 0.02}
{'loss': 4.0402, 'grad_norm': 0.52734375, 'learning_rate': 0.00012818181818181817, 'epoch': 0.02}
{'loss': 4.1211, 'grad_norm': 0.5390625, 'learning_rate': 0.0001309090909090909, 'epoch': 0.02}
{'loss': 4.1291, 'grad_norm': 0.470703125, 'learning_rate': 0.0001336363636363636, 'epoch': 0.02}
{'loss': 3.9123, 'grad_norm': 0.474609375, 'learning_rate': 0.00013636363636363634, 'epoch': 0.02}
{'loss': 4.198, 'grad_norm': 0.486328125, 'learning_rate': 0.00013909090909090908, 'epoch': 0.02}
{'loss': 4.1022, 'grad_norm': 0.48046875, 'learning_rate': 0.0001418181818181818, 'epoch': 0.02}
{'loss': 4.1043, 'grad_norm': 0.5078125, 'learning_rate': 0.00014454545454545452, 'epoch': 0.02}
{'loss': 4.0835, 'grad_norm': 0.455078125, 'learning_rate': 0.00014727272727272725, 'epoch': 0.02}
{'loss': 3.9793, 'grad_norm': 0.46875, 'learning_rate': 0.00015, 'epoch': 0.03}
{'loss': 3.8085, 'grad_norm': 0.435546875, 'learning_rate': 0.0001527272727272727, 'epoch': 0.03}
{'loss': 3.9893, 'grad_norm': 0.427734375, 'learning_rate': 0.00015545454545454546, 'epoch': 0.03}
{'loss': 4.1471, 'grad_norm': 0.447265625, 'learning_rate': 0.00015818181818181816, 'epoch': 0.03}
{'loss': 3.9661, 'grad_norm': 0.4296875, 'learning_rate': 0.0001609090909090909, 'epoch': 0.03}
{'loss': 3.7826, 'grad_norm': 0.44140625, 'learning_rate': 0.0001636363636363636, 'epoch': 0.03}
{'loss': 3.9538, 'grad_norm': 0.40625, 'learning_rate': 0.00016636363636363637, 'epoch': 0.03}
{'loss': 3.9663, 'grad_norm': 0.439453125, 'learning_rate': 0.00016909090909090907, 'epoch': 0.03}
{'loss': 4.0248, 'grad_norm': 0.423828125, 'learning_rate': 0.0001718181818181818, 'epoch': 0.03}
{'loss': 4.0671, 'grad_norm': 0.392578125, 'learning_rate': 0.00017454545454545452, 'epoch': 0.03}
{'loss': 3.9843, 'grad_norm': 0.412109375, 'learning_rate': 0.00017727272727272728, 'epoch': 0.03}
{'loss': 4.0752, 'grad_norm': 0.388671875, 'learning_rate': 0.00017999999999999998, 'epoch': 0.03}
{'loss': 3.8705, 'grad_norm': 0.40234375, 'learning_rate': 0.00018272727272727272, 'epoch': 0.03}
{'loss': 3.9871, 'grad_norm': 0.408203125, 'learning_rate': 0.00018545454545454543, 'epoch': 0.03}
{'loss': 3.6707, 'grad_norm': 0.40625, 'learning_rate': 0.0001881818181818182, 'epoch': 0.03}
{'loss': 4.0156, 'grad_norm': 0.412109375, 'learning_rate': 0.0001909090909090909, 'epoch': 0.03}
{'loss': 4.0039, 'grad_norm': 0.3828125, 'learning_rate': 0.00019363636363636363, 'epoch': 0.03}
{'loss': 3.9624, 'grad_norm': 0.359375, 'learning_rate': 0.00019636363636363634, 'epoch': 0.03}
{'loss': 3.872, 'grad_norm': 0.3828125, 'learning_rate': 0.0001990909090909091, 'epoch': 0.03}
{'loss': 3.9865, 'grad_norm': 0.400390625, 'learning_rate': 0.0002018181818181818, 'epoch': 0.03}
{'loss': 3.9188, 'grad_norm': 0.390625, 'learning_rate': 0.0002045454545454545, 'epoch': 0.03}
{'loss': 3.8371, 'grad_norm': 0.396484375, 'learning_rate': 0.00020727272727272725, 'epoch': 0.03}
{'loss': 3.7623, 'grad_norm': 0.380859375, 'learning_rate': 0.00020999999999999998, 'epoch': 0.04}
{'loss': 4.0015, 'grad_norm': 0.390625, 'learning_rate': 0.00021272727272727272, 'epoch': 0.04}
{'loss': 3.6668, 'grad_norm': 0.37109375, 'learning_rate': 0.00021545454545454542, 'epoch': 0.04}
{'loss': 3.7421, 'grad_norm': 0.39453125, 'learning_rate': 0.00021818181818181816, 'epoch': 0.04}
{'loss': 3.9048, 'grad_norm': 0.380859375, 'learning_rate': 0.0002209090909090909, 'epoch': 0.04}
{'loss': 3.7552, 'grad_norm': 0.37109375, 'learning_rate': 0.00022363636363636363, 'epoch': 0.04}
