  0%|                                                                              | 0/2195 [00:00<?, ?it/s]WARNING:transformers_modules.GPTNeoX-160M-WikiText-512-flash_attention_2.modeling_custom:`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
                                                                                                            
{'loss': 4.0835, 'grad_norm': 0.455078125, 'learning_rate': 0.00014727272727272725, 'epoch': 0.02}
{'loss': 3.9793, 'grad_norm': 0.46875, 'learning_rate': 0.00015, 'epoch': 0.03}
{'loss': 3.8086, 'grad_norm': 0.43359375, 'learning_rate': 0.0001527272727272727, 'epoch': 0.03}
{'loss': 3.9893, 'grad_norm': 0.427734375, 'learning_rate': 0.00015545454545454546, 'epoch': 0.03}
{'loss': 4.147, 'grad_norm': 0.447265625, 'learning_rate': 0.00015818181818181816, 'epoch': 0.03}
{'loss': 3.9659, 'grad_norm': 0.4296875, 'learning_rate': 0.0001609090909090909, 'epoch': 0.03}
{'loss': 3.7827, 'grad_norm': 0.44140625, 'learning_rate': 0.0001636363636363636, 'epoch': 0.03}
{'loss': 3.954, 'grad_norm': 0.40625, 'learning_rate': 0.00016636363636363637, 'epoch': 0.03}
{'loss': 3.966, 'grad_norm': 0.439453125, 'learning_rate': 0.00016909090909090907, 'epoch': 0.03}
{'loss': 4.0246, 'grad_norm': 0.421875, 'learning_rate': 0.0001718181818181818, 'epoch': 0.03}
{'loss': 4.0666, 'grad_norm': 0.392578125, 'learning_rate': 0.00017454545454545452, 'epoch': 0.03}
{'loss': 3.9842, 'grad_norm': 0.412109375, 'learning_rate': 0.00017727272727272728, 'epoch': 0.03}
{'loss': 4.0751, 'grad_norm': 0.390625, 'learning_rate': 0.00017999999999999998, 'epoch': 0.03}
{'loss': 3.8704, 'grad_norm': 0.400390625, 'learning_rate': 0.00018272727272727272, 'epoch': 0.03}
{'loss': 3.9873, 'grad_norm': 0.408203125, 'learning_rate': 0.00018545454545454543, 'epoch': 0.03}
{'loss': 3.6707, 'grad_norm': 0.40625, 'learning_rate': 0.0001881818181818182, 'epoch': 0.03}
{'loss': 4.0156, 'grad_norm': 0.412109375, 'learning_rate': 0.0001909090909090909, 'epoch': 0.03}
{'loss': 4.0041, 'grad_norm': 0.3828125, 'learning_rate': 0.00019363636363636363, 'epoch': 0.03}
{'loss': 3.9624, 'grad_norm': 0.359375, 'learning_rate': 0.00019636363636363634, 'epoch': 0.03}
{'loss': 3.8722, 'grad_norm': 0.3828125, 'learning_rate': 0.0001990909090909091, 'epoch': 0.03}
{'loss': 3.9868, 'grad_norm': 0.400390625, 'learning_rate': 0.0002018181818181818, 'epoch': 0.03}
{'loss': 3.9189, 'grad_norm': 0.390625, 'learning_rate': 0.0002045454545454545, 'epoch': 0.03}
{'loss': 3.837, 'grad_norm': 0.396484375, 'learning_rate': 0.00020727272727272725, 'epoch': 0.03}
{'loss': 3.7627, 'grad_norm': 0.380859375, 'learning_rate': 0.00020999999999999998, 'epoch': 0.04}
{'loss': 4.0017, 'grad_norm': 0.390625, 'learning_rate': 0.00021272727272727272, 'epoch': 0.04}
