  0%|                                                                                                 | 0/2195 [00:00<?, ?it/s]WARNING:transformers_modules.GPTNeoX-160m.modeling_custom:`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
                                                                                                                               
{'loss': 7.1759, 'grad_norm': 0.75390625, 'learning_rate': 0.00015, 'epoch': 0.03}
{'loss': 7.2013, 'grad_norm': 0.71875, 'learning_rate': 0.0001527272727272727, 'epoch': 0.03}
{'loss': 7.1555, 'grad_norm': 0.6171875, 'learning_rate': 0.00015545454545454546, 'epoch': 0.03}
{'loss': 7.1446, 'grad_norm': 0.6171875, 'learning_rate': 0.00015818181818181816, 'epoch': 0.03}
{'loss': 7.0057, 'grad_norm': 0.65625, 'learning_rate': 0.0001609090909090909, 'epoch': 0.03}
{'loss': 6.9796, 'grad_norm': 0.58203125, 'learning_rate': 0.0001636363636363636, 'epoch': 0.03}
{'loss': 6.9166, 'grad_norm': 0.58203125, 'learning_rate': 0.00016636363636363637, 'epoch': 0.03}
{'loss': 6.9757, 'grad_norm': 0.59375, 'learning_rate': 0.00016909090909090907, 'epoch': 0.03}
{'loss': 6.9987, 'grad_norm': 0.6328125, 'learning_rate': 0.0001718181818181818, 'epoch': 0.03}
{'loss': 6.8883, 'grad_norm': 0.68359375, 'learning_rate': 0.00017454545454545452, 'epoch': 0.03}
{'loss': 6.9205, 'grad_norm': 0.57421875, 'learning_rate': 0.00017727272727272728, 'epoch': 0.03}
{'loss': 6.9654, 'grad_norm': 0.703125, 'learning_rate': 0.00017999999999999998, 'epoch': 0.03}
{'loss': 6.9284, 'grad_norm': 0.55078125, 'learning_rate': 0.00018272727272727272, 'epoch': 0.03}
{'loss': 7.0399, 'grad_norm': 0.64453125, 'learning_rate': 0.00018545454545454543, 'epoch': 0.03}
{'loss': 6.8765, 'grad_norm': 0.75, 'learning_rate': 0.0001881818181818182, 'epoch': 0.03}
{'loss': 6.9184, 'grad_norm': 0.609375, 'learning_rate': 0.0001909090909090909, 'epoch': 0.03}
{'loss': 6.8826, 'grad_norm': 0.58984375, 'learning_rate': 0.00019363636363636363, 'epoch': 0.03}
{'loss': 6.7531, 'grad_norm': 0.73046875, 'learning_rate': 0.00019636363636363634, 'epoch': 0.03}
{'loss': 6.8067, 'grad_norm': 0.58203125, 'learning_rate': 0.0001990909090909091, 'epoch': 0.03}
{'loss': 6.8943, 'grad_norm': 0.65234375, 'learning_rate': 0.0002018181818181818, 'epoch': 0.03}
{'loss': 6.8128, 'grad_norm': 0.8984375, 'learning_rate': 0.0002045454545454545, 'epoch': 0.03}
{'loss': 6.8379, 'grad_norm': 0.671875, 'learning_rate': 0.00020727272727272725, 'epoch': 0.03}
{'loss': 6.7218, 'grad_norm': 0.7109375, 'learning_rate': 0.00020999999999999998, 'epoch': 0.04}
{'loss': 6.84, 'grad_norm': 0.609375, 'learning_rate': 0.00021272727272727272, 'epoch': 0.04}
