  0%|                                                                               | 0/10962 [00:00<?, ?it/s]WARNING:transformers_modules.GPTNeoX-160m.modeling_custom:`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
                                                                                                              
{'loss': 9.6315, 'grad_norm': 1.8359375, 'learning_rate': 3.0082041932543298e-05, 'epoch': 0.01}
{'loss': 9.6042, 'grad_norm': 1.8046875, 'learning_rate': 3.062898814949863e-05, 'epoch': 0.01}
{'loss': 9.5143, 'grad_norm': 1.890625, 'learning_rate': 3.117593436645396e-05, 'epoch': 0.01}
{'loss': 9.6001, 'grad_norm': 1.7265625, 'learning_rate': 3.17228805834093e-05, 'epoch': 0.01}
{'loss': 9.5351, 'grad_norm': 1.765625, 'learning_rate': 3.226982680036463e-05, 'epoch': 0.01}
{'loss': 9.533, 'grad_norm': 1.7109375, 'learning_rate': 3.281677301731996e-05, 'epoch': 0.01}
{'loss': 9.516, 'grad_norm': 1.6875, 'learning_rate': 3.336371923427529e-05, 'epoch': 0.01}
{'loss': 9.473, 'grad_norm': 1.7578125, 'learning_rate': 3.3910665451230624e-05, 'epoch': 0.01}
{'loss': 9.4263, 'grad_norm': 1.8671875, 'learning_rate': 3.445761166818596e-05, 'epoch': 0.01}
{'loss': 9.3753, 'grad_norm': 1.8046875, 'learning_rate': 3.500455788514129e-05, 'epoch': 0.01}
{'loss': 9.4487, 'grad_norm': 1.7421875, 'learning_rate': 3.5551504102096626e-05, 'epoch': 0.01}
{'loss': 9.346, 'grad_norm': 1.7734375, 'learning_rate': 3.609845031905196e-05, 'epoch': 0.01}
{'loss': 9.4027, 'grad_norm': 1.6015625, 'learning_rate': 3.664539653600729e-05, 'epoch': 0.01}
{'loss': 9.3437, 'grad_norm': 1.6328125, 'learning_rate': 3.719234275296262e-05, 'epoch': 0.01}
{'loss': 9.2543, 'grad_norm': 1.703125, 'learning_rate': 3.773928896991796e-05, 'epoch': 0.01}
{'loss': 9.279, 'grad_norm': 1.6328125, 'learning_rate': 3.8286235186873285e-05, 'epoch': 0.01}
{'loss': 9.3206, 'grad_norm': 1.6953125, 'learning_rate': 3.883318140382862e-05, 'epoch': 0.01}
{'loss': 9.2313, 'grad_norm': 1.59375, 'learning_rate': 3.9380127620783955e-05, 'epoch': 0.01}
{'loss': 9.2717, 'grad_norm': 1.546875, 'learning_rate': 3.992707383773928e-05, 'epoch': 0.01}
{'loss': 9.148, 'grad_norm': 1.640625, 'learning_rate': 4.047402005469462e-05, 'epoch': 0.01}
{'loss': 9.1884, 'grad_norm': 1.6328125, 'learning_rate': 4.102096627164995e-05, 'epoch': 0.01}
{'loss': 9.1048, 'grad_norm': 1.71875, 'learning_rate': 4.156791248860529e-05, 'epoch': 0.01}
{'loss': 9.1052, 'grad_norm': 1.625, 'learning_rate': 4.2114858705560614e-05, 'epoch': 0.01}
{'loss': 9.1108, 'grad_norm': 1.6484375, 'learning_rate': 4.2661804922515946e-05, 'epoch': 0.01}
{'loss': 9.0718, 'grad_norm': 1.5703125, 'learning_rate': 4.3208751139471284e-05, 'epoch': 0.01}
{'loss': 9.0693, 'grad_norm': 1.53125, 'learning_rate': 4.375569735642661e-05, 'epoch': 0.01}
{'loss': 9.1152, 'grad_norm': 1.4921875, 'learning_rate': 4.430264357338195e-05, 'epoch': 0.01}
{'loss': 8.9556, 'grad_norm': 1.546875, 'learning_rate': 4.484958979033728e-05, 'epoch': 0.01}
{'loss': 9.057, 'grad_norm': 1.4140625, 'learning_rate': 4.539653600729261e-05, 'epoch': 0.01}
{'loss': 9.0004, 'grad_norm': 1.4921875, 'learning_rate': 4.594348222424794e-05, 'epoch': 0.01}
{'loss': 8.9086, 'grad_norm': 1.5078125, 'learning_rate': 4.649042844120328e-05, 'epoch': 0.01}
{'loss': 8.8792, 'grad_norm': 1.515625, 'learning_rate': 4.7037374658158614e-05, 'epoch': 0.01}
{'loss': 8.9181, 'grad_norm': 1.421875, 'learning_rate': 4.758432087511394e-05, 'epoch': 0.01}
{'loss': 8.8379, 'grad_norm': 1.4453125, 'learning_rate': 4.813126709206928e-05, 'epoch': 0.01}
{'loss': 8.8183, 'grad_norm': 1.4140625, 'learning_rate': 4.867821330902461e-05, 'epoch': 0.01}
{'loss': 8.7972, 'grad_norm': 1.3828125, 'learning_rate': 4.922515952597994e-05, 'epoch': 0.01}
